epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1202.35,0.71709,0.37368,0.97481,0.88559,0.87088,0.88781,0.54222,1.30813,0.58608,1.46273,0.000257219,0.000257219,0.000257219
119,1212.42,0.71038,0.36725,0.96627,0.89707,0.86923,0.88791,0.54647,1.29953,0.58254,1.44935,0.000249766,0.000249766,0.000249766
120,1222.45,0.69154,0.3591,0.96238,0.87956,0.87174,0.88025,0.54349,1.30961,0.57682,1.45929,0.000242314,0.000242314,0.000242314
121,1232.53,0.69707,0.36092,0.96287,0.88011,0.87759,0.88601,0.54385,1.30247,0.58045,1.45642,0.000234862,0.000234862,0.000234862
122,1242.91,0.70432,0.36564,0.96862,0.8925,0.86768,0.88595,0.54847,1.30446,0.5729,1.44836,0.000227409,0.000227409,0.000227409
123,1252.91,0.69231,0.3604,0.96026,0.89007,0.86983,0.88659,0.54543,1.30185,0.5735,1.43769,0.000219957,0.000219957,0.000219957
124,1262.99,0.71,0.37129,0.96488,0.89,0.87623,0.89091,0.54968,1.29029,0.57074,1.4118,0.000212505,0.000212505,0.000212505
125,1273,0.70097,0.36105,0.96255,0.90208,0.86979,0.89236,0.55122,1.29803,0.57043,1.42187,0.000205052,0.000205052,0.000205052
126,1283.06,0.68583,0.35756,0.95738,0.88711,0.8782,0.89281,0.55257,1.29637,0.58023,1.43053,0.0001976,0.0001976,0.0001976
127,1293.1,0.67767,0.35514,0.95298,0.88633,0.87675,0.89112,0.54994,1.29968,0.58412,1.43909,0.000190148,0.000190148,0.000190148
128,1303.19,0.67287,0.35198,0.94832,0.88252,0.88203,0.89254,0.54684,1.31347,0.5895,1.45257,0.000182695,0.000182695,0.000182695
129,1313.24,0.67583,0.34926,0.95475,0.89436,0.86844,0.8949,0.54697,1.30312,0.58071,1.44704,0.000175243,0.000175243,0.000175243
130,1323.27,0.67026,0.35161,0.95459,0.89473,0.86896,0.8922,0.54392,1.30818,0.5821,1.45184,0.000167791,0.000167791,0.000167791
131,1333.38,0.6729,0.35214,0.9493,0.89591,0.87714,0.89121,0.54396,1.31337,0.5785,1.45864,0.000160338,0.000160338,0.000160338
132,1343.51,0.67409,0.35042,0.94246,0.89205,0.86974,0.88775,0.54047,1.32771,0.57741,1.46928,0.000152886,0.000152886,0.000152886
133,1353.61,0.66726,0.34775,0.94363,0.88568,0.8705,0.88462,0.54312,1.31392,0.58301,1.4591,0.000145434,0.000145434,0.000145434
134,1363.72,0.6509,0.33835,0.94413,0.89411,0.87219,0.89016,0.5444,1.31072,0.58273,1.45939,0.000137981,0.000137981,0.000137981
135,1374.11,0.6474,0.3375,0.9394,0.89856,0.86442,0.88732,0.54284,1.31283,0.58349,1.46463,0.000130529,0.000130529,0.000130529
136,1384.59,0.64094,0.33468,0.93802,0.90146,0.86048,0.88707,0.54419,1.31348,0.57931,1.46372,0.000123077,0.000123077,0.000123077
137,1394.92,0.64368,0.33741,0.94521,0.88589,0.87288,0.89103,0.54609,1.31401,0.57683,1.46976,0.000115624,0.000115624,0.000115624
138,1405.34,0.64391,0.33737,0.93217,0.89179,0.87212,0.89122,0.54704,1.30135,0.57539,1.46254,0.000108172,0.000108172,0.000108172
139,1415.74,0.64596,0.33858,0.94519,0.90051,0.86742,0.88782,0.54709,1.30772,0.57399,1.46915,0.00010072,0.00010072,0.00010072
140,1425.99,0.63992,0.33721,0.93968,0.89875,0.86368,0.88456,0.54525,1.31574,0.58101,1.47222,9.32672e-05,9.32672e-05,9.32672e-05
141,1445.99,0.61865,0.31422,0.93017,0.89253,0.87282,0.88311,0.54231,1.31702,0.56952,1.5038,8.58149e-05,8.58149e-05,8.58149e-05
142,1456.04,0.61578,0.31062,0.92787,0.90254,0.87113,0.88554,0.54003,1.31487,0.57306,1.50894,7.83625e-05,7.83625e-05,7.83625e-05
143,1466.32,0.6027,0.30559,0.93576,0.90074,0.86128,0.88285,0.53916,1.319,0.57967,1.50607,7.09102e-05,7.09102e-05,7.09102e-05
144,1476.51,0.59548,0.30161,0.92214,0.90149,0.8568,0.88251,0.5439,1.31315,0.57349,1.49533,6.34578e-05,6.34578e-05,6.34578e-05
145,1486.51,0.58756,0.29811,0.91745,0.90006,0.86289,0.88393,0.54265,1.31804,0.58167,1.49635,5.60055e-05,5.60055e-05,5.60055e-05
146,1496.52,0.58983,0.29842,0.91798,0.89723,0.8656,0.883,0.54271,1.31701,0.58114,1.49986,4.85531e-05,4.85531e-05,4.85531e-05
147,1506.49,0.58697,0.29476,0.91413,0.90177,0.86536,0.88377,0.54287,1.31314,0.58185,1.49799,4.11008e-05,4.11008e-05,4.11008e-05
148,1516.45,0.58088,0.29234,0.91607,0.89937,0.86237,0.88263,0.54501,1.31108,0.58515,1.49599,3.36485e-05,3.36485e-05,3.36485e-05
149,1526.46,0.57481,0.28916,0.9028,0.90168,0.86673,0.88553,0.54031,1.3145,0.5862,1.49656,2.61961e-05,2.61961e-05,2.61961e-05
150,1536.47,0.58415,0.29546,0.92244,0.90021,0.86597,0.88588,0.54132,1.31576,0.58485,1.49824,1.87438e-05,1.87438e-05,1.87438e-05
